depthCharts,Name
TE2,Fred Davis
QB1,Brett Favre
QB2,Tarvaris Jackson
RB1,Adrian Peterson
RB2,Toby Gerhart
RB3,Albert Young
WR1,Percy Harvin
WR2,Bernard Berrian
WR3,Greg Camarillo
WR4,Sidney Rice
TE1,Visanthe Shiancoe
TE2,Jim Kleinsasser
QB1,Josh Freeman
QB2,Josh Johnson
RB1,Cadillac Williams
RB2,Kareem Huggins
RB3,Earnest Graham
WR1,Mike Williams
WR2,Sammie Stroughter
WR3,Maurice Stovall
WR4,Reggie Brown
TE1,Kellen Winslow
TE2,Jerramy Stevens
QB1,Sam Bradford
QB2,A.J. Feeley
RB1,Steven Jackson
RB2,Kenneth Darby
RB3,Chris Ogbonnaya
WR1,Laurent Robinson
WR2,Mark Clayton
WR3,Danny Amendola
WR4,Mardy Gilyard
TE1,Daniel Fells
TE2,Michael Hoomanawanui
